CAMIS,GRADE,BORO
40396598,0,QUEENS
40396605,0,MANHATTAN
40396622,1,MANHATTAN
40396706,0,MANHATTAN
40396769,0,QUEENS
40396889,0,QUEENS
40396892,0,QUEENS
40396906,0,MANHATTAN
40396927,0,MANHATTAN
40397029,1,STATEN ISLAND
40397056,1,QUEENS
40397075,0,STATEN ISLAND
40397082,0,MANHATTAN
40397116,0,MANHATTAN
40397159,0,MANHATTAN
40397180,1,MANHATTAN
40397189,0,MANHATTAN
40397190,1,MANHATTAN
40397219,0,BRONX
40397243,1,MANHATTAN
40397305,1,BROOKLYN
40397329,0,QUEENS
40397335,1,BROOKLYN
40397349,0,MANHATTAN
40397354,0,MANHATTAN
40397359,0,MANHATTAN
40397439,0,QUEENS
40397458,0,QUEENS
40397478,0,MANHATTAN
40397486,0,MANHATTAN
40397492,0,MANHATTAN
40397520,0,MANHATTAN
40397574,0,BRONX
40397624,0,MANHATTAN
40397625,0,BROOKLYN
40397626,0,BROOKLYN
40397642,0,BROOKLYN
40397676,0,MANHATTAN
40397687,0,MANHATTAN
40397700,0,MANHATTAN
40397723,0,STATEN ISLAND
40397725,0,BROOKLYN
40397763,0,QUEENS
40397775,1,QUEENS
40397780,0,MANHATTAN
40397791,0,MANHATTAN
40397797,1,MANHATTAN
40397810,0,QUEENS
40397863,1,BRONX
40397886,1,MANHATTAN
40397916,1,BROOKLYN
40397962,1,MANHATTAN
40398024,0,MANHATTAN
40398045,0,MANHATTAN
40398125,0,BROOKLYN
40398138,0,QUEENS
40398150,0,QUEENS
40398306,1,MANHATTAN
40398367,0,QUEENS
40398389,0,QUEENS
40398410,1,MANHATTAN
40398416,0,QUEENS
40398434,0,MANHATTAN
40398440,0,QUEENS
40398447,0,BROOKLYN
40398475,1,MANHATTAN
40398531,0,STATEN ISLAND
40398532,0,BROOKLYN
40398549,0,BROOKLYN
40398554,0,MANHATTAN
40398561,0,MANHATTAN
40398578,1,MANHATTAN
40398586,1,MANHATTAN
40398588,-1,MANHATTAN
40398600,0,MANHATTAN
40398642,0,BRONX
40398658,0,QUEENS
40398688,1,BROOKLYN
40398689,0,QUEENS
40398690,0,MANHATTAN
40398700,0,QUEENS
40398767,0,BROOKLYN
40398795,1,QUEENS
40398796,0,MANHATTAN
40398811,0,MANHATTAN
40398852,1,BRONX
40398899,1,BROOKLYN
40398910,1,BRONX
